"","X1","X2"
"1","2012_AB_1","0.3"
"2","2012_AB_3","-0.8"
"3","2012_AL_1","0.8"
"4","2012_AL_2","0.535714285714286"
"5","2012_AL_3","0.0693954235935254"
"6","2012_AL_4","0.485714285714286"
"7","2012_BW_1","1"
"8","2012_BW_2","0.257142857142857"
"9","2012_BW_3","0.0512989176042577"
"10","2012_BW_4","0.657142857142857"
"11","2012_DF_2","0.5"
"12","2012_DF_3","-0.8"
"13","2012_DF_4","-0.737864787372622"
"14","2012_MA_1","0.535714285714286"
"15","2012_MA_2","0.642857142857143"
"16","2012_MA_3","0.5"
"17","2012_RO_1","0.285714285714286"
"18","2012_RO_2","0.718657794702443"
"19","2012_RO_3","0.257142857142857"
"20","2012_RO_4","0.479050504765304"
"21","2013_AB_1","-0.5"
"22","2013_AB_2","1"
"23","2013_AL_1","0.3"
"24","2013_AL_2","0.790277206784084"
"25","2013_AL_3","0.00878735979220255"
"26","2013_AL_4","-0.447213595499958"
"27","2013_BO_3","0.5"
"28","2013_BW_1","1"
"29","2013_BW_2","0.690476190476191"
"30","2013_BW_3","0.833333333333333"
"31","2013_DR_1","1"
"32","2013_DR_2","0.9"
"33","2013_DR_3","0.828862465679914"
"34","2013_DR_4","0"
"35","2013_FH_2","0.596974429950591"
"36","2013_FH_3","0.648351648351648"
"37","2013_FH_4","0.682646969290558"
"38","2013_MU_1","0.555936987495826"
"39","2013_MU_2","0.538931817860967"
"40","2013_MU_3","0.391521266047712"
"41","2013_PU_1","0.8"
"42","2013_PU_2","0.481812055829716"
"43","2013_PU_3","0.869656553478673"
"44","2013_RL_1","0"
"45","2013_RL_2","0.753702346348183"
"46","2013_RL_3","0.682646969290558"
"47","2013_RL_4","0.383240403812243"
"48","2013_RO_1","1"
"49","2013_RO_2","0.270281238808668"
"50","2013_RO_3","0.61263747463298"
"51","2013_RO_4","0.898219696434944"
"52","2013_SH_1","-0.162650602409639"
"53","2013_SH_2","0.404976572280898"
"54","2013_SH_3","0.632455532033676"
"55","2013_SH_4","0.9"
"56","2013_URWA_1","0.0857142857142857"
"57","2013_URWA_2","0.682646969290558"
"58","2013_URWA_3","0.948683298050514"
"59","2014_AB_2","0.9"
"60","2014_AB_3","0.5"
"61","2014_AL_3","0.707527552887687"
"62","2014_AL_4","0.6"
"63","2014_BW_1","0.8"
"64","2014_BW_2","0.690476190476191"
"65","2014_BW_3","-0.0285714285714286"
"66","2014_DO_1","0.630656223886891"
"67","2014_DO_2","1"
"68","2014_DR_2","0.6"
"69","2014_DR_3","1"
"70","2014_DR_4","0.5"
"71","2014_FH_2","0.684712471648625"
"72","2014_FH_3","0.642857142857143"
"73","2014_FH_4","0.5"
"74","2014_MA_1","0.4"
"75","2014_MA_2","-0.5"
"76","2014_ME_1","-1"
"77","2014_ME_2","-0.5"
"78","2014_ME_3","0.8"
"79","2014_RO_2","0.540562477617335"
"80","2014_RO_3","0.634741918814027"
"81","2014_RO_4","0.674698795180723"
"82","2014_SH_1","0.5"
"83","2014_SH_2","0.889499179993321"
"84","2014_SH_3","0.564288093646835"
"85","2014_SH_4","0.4"
"86","2014_UR_1","0.158113883008419"
"87","2014_UR_2","0.4"
"88",NA,NA
"89",NA,NA
"90",NA,NA
