uniqueID,sc,year,round,fdate,site,AM_PM,transect,treatment,L_R,genus,species,gs,,sex,detby,Taxonomy_notes,det_date,basicID,non_bee_desc1,plant_code,plant_genus_2013,plant_species_2013,plant_genus,plant_species,genus_species,planted,coll,lat,lon,spec_notes,plant_check1,plant_check2,error_redo,
XCIG2013_3460,2013_URWAT,2013,2,7/19/13,URWA,AM,1,T,,Lasioglossum,versatum,Lasioglossum_versatum,,f,J_Gibbs,,0000-00-00,bee,,SOCA6,Solidago,canadensis,Solidago,canadensis,Solidago_canadensis,yes,MR,40.703892,-74.700793,,1,,,
XCIG2013_3461,2013_URWAT,2013,2,7/19/13,URWA,AM,1,T,,Augochlorella,aurata,Augochlorella_aurata,,f,J_Gibbs,,0000-00-00,bee,,SOCA6,Solidago,canadensis,Solidago,canadensis,Solidago_canadensis,yes,MR,40.703892,-74.700793,,1,,,
XCIG2013_3462,2013_URWAC,2013,2,7/19/13,URWA,AM,1,C,,Halictus,ligatus,Halictus_ligatus,,f,J_Gibbs,,0000-00-00,bee,,SOCA6,Solidago,canadensis,Solidago,canadensis,Solidago_canadensis,no,MR,40.701794,-74.700673,,1,,,
XCIG2013_3463,2013_URWAC,2013,2,7/19/13,URWA,AM,1,C,,Lasioglossum,versatum,Lasioglossum_versatum,,f,J_Gibbs,,0000-00-00,bee,,SOCA6,Solidago,canadensis,Solidago,canadensis,Solidago_canadensis,no,MR,40.701794,-74.700673,,1,,,
XCIG2013_3464,2013_URWAC,2013,2,7/19/13,URWA,AM,1,C,,Halictus,ligatus,Halictus_ligatus,,f,J_Gibbs,,0000-00-00,bee,,SOCA6,Solidago,canadensis,Solidago,canadensis,Solidago_canadensis,no,MR,40.701794,-74.700673,,1,,,
XCIG2013_3465,2013_URWAC,2013,2,7/19/13,URWA,AM,1,C,,Halictus,ligatus,Halictus_ligatus,,f,J_Gibbs,,0000-00-00,bee,,SOCA6,Solidago,canadensis,Solidago,canadensis,Solidago_canadensis,no,MR,40.701794,-74.700673,,1,,,
XCIG2013_3466,2013_URWAC,2013,2,7/19/13,URWA,AM,1,C,,Halictus,ligatus,Halictus_ligatus,,f,J_Gibbs,,0000-00-00,bee,,SOCA6,Solidago,canadensis,Solidago,canadensis,Solidago_canadensis,no,MR,40.701794,-74.700673,,1,,,
XCIG2013_3467,2013_URWAC,2013,2,7/19/13,URWA,AM,1,C,,Bombus,griseocollis,Bombus_griseocollis,,m,J_Gibbs,,0000-00-00,bee,,PYTE,Pycnanthemum,tenuifolium,Pycnanthemum,tenuifolium,Pycnanthemum_tenuifolium,no,MR,40.701794,-74.700673,,NULL,,,
XCIG2013_3468,2013_URWAC,2013,2,7/19/13,URWA,AM,1,C,,Bombus,impatiens,Bombus_impatiens,,f,J_Gibbs,,0000-00-00,bee,,PYTE,Pycnanthemum,tenuifolium,Pycnanthemum,tenuifolium,Pycnanthemum_tenuifolium,no,MR,40.701794,-74.700673,,NULL,,,
XCIG2013_3469,2013_URWAT,2013,2,7/19/13,URWA,PM,1,T,,Bombus,griseocollis,Bombus_griseocollis,,f,J_Gibbs,,0000-00-00,bee,,SOCA6,Solidago,canadensis,Solidago,canadensis,Solidago_canadensis,yes,MR,40.703892,-74.700793,,1,,,
